0.1000000015,0.1774951071,0.1774951071,0.1968688816
0.1193737760,0.2162426710,0.2162426710,0.2162426710
0.1387475580,0.2356164455,0.2356164455,0.2356164455
0.1581213325,0.2549902201,0.2549902201,0.2743639946
0.1774951071,0.2743639946,0.2937377691,0.2937377691
0.1968688816,0.2937377691,0.3131115437,0.3131115437
0.2162426710,0.3324853182,0.3324853182,0.3518590927
0.2356164455,0.3518590927,0.3518590927,0.3712328672
0.2549902201,0.3712328672,0.3906066418,0.3906066418
0.2743639946,0.3906066418,0.4099804163,0.4099804163
0.2937377691,0.4099804163,0.4293541908,0.4487279654
0.3131115437,0.4293541908,0.4487279654,0.4681017399
0.3324853182,0.4681017399,0.4681017399,0.4874755144
0.3518590927,0.4874755144,0.4874755144,0.5068492889
0.3712328672,0.5068492889,0.5068492889,0.5262230635
0.3906066418,0.5262230635,0.5455968380,0.5455968380
0.4099804163,0.5455968380,0.5649706721,0.5649706721
0.4293541908,0.5649706721,0.5843444467,0.6037182212
0.4487279654,0.5843444467,0.6037182212,0.6230919957
0.4681017399,0.6037182212,0.6230919957,0.6424657702
0.4874755144,0.6230919957,0.6424657702,0.6618395448
0.5068492889,0.6424657702,0.6618395448,0.6812133193
0.5262230635,0.6618395448,0.6812133193,0.7005870938
0.5455968380,0.6812133193,0.7005870938,0.7199608684
0.5649706721,0.7005870938,0.7199608684,0.7393346429
0.5843444467,0.7199608684,0.7393346429,0.7587084174
0.6037182212,0.7393346429,0.7587084174,0.7780821919
0.6230919957,0.7587084174,0.7780821919,0.7974559665
0.6424657702,0.7780821919,0.7974559665,0.8168297410
0.6618395448,0.7974559665,0.8168297410,0.8555772901
0.6812133193,0.8168297410,0.8362035155,0.8749510646
0.7005870938,0.8362035155,0.8749510646,0.8943248391
0.7199608684,0.8555772901,0.8943248391,0.9136986136
0.7393346429,0.8749510646,0.9136986136,0.9330723882
0.7587084174,0.8943248391,0.9330723882,0.9524461627
0.7780821919,0.9136986136,0.9524461627,0.9718199372
0.7974559665,0.9330723882,0.9718199372,0.9911937118
0.8168297410,0.9524461627,0.9911937118,1.0105674267
0.8362035155,0.9718199372,1.0105674267,1.0299413204
0.8555772901,0.9911937118,1.0299413204,1.0493150949
0.8749510646,1.0105674267,1.0493150949,1.0686888695
0.8943248391,1.0299413204,1.0686888695,1.0880626440
0.9136986136,1.0493150949,1.0686888695,1.1074364185
0.9330723882,1.0686888695,1.0880626440,1.1268101931
0.9524461627,1.0880626440,1.1074364185,1.1461839676
0.9718199372,1.1074364185,1.1268101931,1.1655577421
0.9911937118,1.1268101931,1.1461839676,1.1849315166
